recommendation_date,stock_code,stock_name,evaluation_date,entry_triggered,assumed_entry_price,return_5d,return_10d,return_20d,mfe_pct,mae_pct,target1_reached,target2_reached,stop_reached,first_event,result,failure_reason,report_file
2026-07-21,2503,キリンホールディングス,2026-08-24,true,2897,3.49,-1.42,3.50,9.11,-1.10,true,false,false,Target1（2026-07-29）,勝ち,なし（予定退出までにTarget1到達）,reports/reviews/2026-08-24.md
2026-07-21,9433,KDDI,2026-08-24,true,2861,4.61,0.44,-0.72,9.09,-0.72,true,false,false,Target1（2026-07-29）,勝ち,なし（予定退出までにTarget1到達）,reports/reviews/2026-08-24.md
2026-07-21,2269,明治ホールディングス,2026-08-24,true,3765,1.83,-3.03,13.41,7.22,0.00,true,false,false,Target1（2026-07-29）,勝ち,なし（予定退出までにTarget1到達）,reports/reviews/2026-08-24.md
2026-08-10,6758,ソニーグループ,2026-09-08,false,,,,,,,false,false,false,未約定・期間終了（20営業日評価）,未約定,8月19日安値3655円が最接近で当初保有期限の8月31日まで反発確認条件なし。期限後は再判定しない,reports/reviews/2026-09-14.md
2026-08-10,7751,キヤノン,2026-09-08,false,,,,,,,false,false,false,未約定・期間終了（20営業日評価）,未約定,8月18日と19日に指定帯へ到達したが両日陰線で翌20日始値も帯外。当初期限後の下落を戦略損失へ算入しない,reports/reviews/2026-09-14.md
2026-08-10,9432,日本電信電話,2026-09-08,false,,,,,,,false,false,false,未約定・期間終了（20営業日評価）,未約定,当初期限までの安値157円で指定帯へ到達せず。期限後の上昇を戦略利益へ算入しない,reports/reviews/2026-09-14.md
2026-08-17,6503,三菱電機,2026-09-14,false,,,,,,,false,false,false,未約定・無効（20営業日評価）,未約定,8月19日にEntry帯を飛び越えて下落し終値5641円でStop5690円を割ったため条件成立前に無効。20営業日目まで再判定なし,reports/reviews/2026-09-21.md
2026-08-17,4661,オリエンタルランド,2026-09-14,false,,,,,,,false,false,false,未約定・期間終了（20営業日評価）,未約定,8月18日に帯内で陽線反発したが翌19日始値2922円が帯上限2910円を上回り未成立。当初期限まで新たな帯内反発後の約定条件なし,reports/reviews/2026-09-21.md
2026-08-17,8306,三菱UFJフィナンシャル・グループ,2026-09-14,false,,,,,,,false,false,false,未約定・無効（20営業日評価）,未約定,8月19日始値3600円で帯へ入ったが陰線となり翌20日始値3450円がStop3460円を下回ったため無効。後日の反発では再有効化しない,reports/reviews/2026-09-21.md
2026-08-24,7267,本田技研工業,2026-09-07,false,,,,,,,false,false,false,未約定（10営業日評価）,未約定,8月28日に帯内陽線となったが翌31日始値1705円が帯上限超過。その後も10営業日目まで新たな約定条件なし,reports/reviews/2026-09-14.md
2026-08-24,1605,INPEX,2026-09-07,false,,,,,,,false,false,false,未約定（10営業日評価）,未約定,9月4日と7日に指定帯へ入ったがいずれも陰線で反発確認条件が成立しなかった,reports/reviews/2026-09-14.md
2026-08-24,2914,日本たばこ産業,2026-09-07,false,,,,,,,false,false,false,未約定（10営業日評価）,未約定,8月31日の帯内陽線後に翌9月1日始値6935円が帯上限超過。9月4日と7日は帯内陰線,reports/reviews/2026-09-14.md
2026-08-24,4502,武田薬品工業,2026-09-07,false,,,,,,,false,false,false,未約定（10営業日評価）,未約定,10営業日目までの最安値は9月4日の5647円で指定帯上限5630円へ届かなかった,reports/reviews/2026-09-14.md
2026-08-31,6702,富士通,2026-09-18,true,3716,,8.34,,9.66,-1.40,true,false,false,Target1（2026-09-14）,勝ち,9月9日にEntry帯内で陽線反発し翌10日始値3716円で仮定約定。9月14日にTarget1到達、9月18日予定退出3979円で+7.08%,reports/reviews/2026-09-21.md
2026-08-31,6301,コマツ,2026-09-18,false,,,,,,,false,false,false,未約定・無効（保有期限終了）,未約定,9月10日にEntry帯へ入ったが翌11日始値7089円が帯下限を下回り未成立。9月15日終値7060円でStop7080円を割り無効,reports/reviews/2026-09-21.md
2026-08-31,8411,みずほフィナンシャルグループ,2026-09-18,false,,,,,,,false,false,false,未約定・期間終了（保有期限終了）,未約定,9月18日の当初期限までの安値8343円で指定帯8100〜8230円へ到達せず,reports/reviews/2026-09-21.md
2026-09-07,9433,KDDI,2026-09-14,false,,,,,,,false,false,false,未約定（5営業日評価）,未約定,9月8日にEntry帯へ到達し陽線となったが翌9日始値2957円が帯上限2940円を上回り未成立,reports/reviews/2026-09-21.md
2026-09-07,8053,住友商事,2026-09-14,false,,,,,,,false,false,false,未約定（5営業日評価）,未約定,9月11日にEntry帯内で陽線反発したが翌14日始値1830円が帯上限1780円を上回り未成立,reports/reviews/2026-09-21.md
2026-09-07,8766,東京海上ホールディングス,2026-09-14,false,,,,,,,false,false,false,未約定（5営業日評価）,未約定,9月11日にEntry帯内で陽線反発したが翌14日始値8030円が帯上限7700円を上回り未成立,reports/reviews/2026-09-21.md
